car_id,car_type,color,year,km,average_price,transmission,body_type,days,price,sold
1891,Toyota_Supra_2020,Blue,2020,21828354,194799,Manual,Sedan,27,211287,True
2645,Toyota_Supra_2020,White,2020,21322640,194799,Manual,Sedan,12,216338,False
3743,Toyota_Supra_2020,Red,2020,20518362,194799,Manual,Sedan,13,212860,True
5083,Toyota_Supra_2020,Black,2020,27073159,194799,Manual,Sedan,49,201423,True
7156,Toyota_Supra_2020,Red,2020,21071772,194799,Manual,Sedan,15,226889,True
8162,Toyota_Supra_2020,Blue,2020,24400569,194799,Manual,Sedan,22,221910,True
11436,Toyota_Supra_2020,Red,2020,21080514,194799,Manual,Sedan,5,201179,True
13253,Toyota_Supra_2020,Black,2020,24149145,194799,Manual,Sedan,20,219923,True
17495,Toyota_Supra_2020,Black,2020,18865426,194799,Manual,Sedan,17,212300,True
19780,Toyota_Supra_2020,White,2020,26141271,194799,Manual,Sedan,7,198241,True
287,Volkswagen_Passat_2008,Black,2008,9946556,230948,Automatic,SUV,23,252390,True
572,Volkswagen_Passat_2008,White,2008,10268834,230948,Automatic,SUV,27,255236,True
2148,Volkswagen_Passat_2008,Red,2008,13208147,230948,Automatic,SUV,9,244161,True
9863,Volkswagen_Passat_2008,Black,2008,12688834,230948,Automatic,SUV,16,252177,True
10015,Volkswagen_Passat_2008,Red,2008,15693940,230948,Automatic,SUV,8,260258,True
10479,Volkswagen_Passat_2008,Red,2008,8718765,230948,Automatic,SUV,17,265355,True
11671,Volkswagen_Passat_2008,Black,2008,15109099,230948,Automatic,SUV,25,252745,True
13431,Volkswagen_Passat_2008,Black,2008,12939534,230948,Automatic,SUV,14,238794,True
1076,Volkswagen_Transporter_2014,Black,2014,26560862,428016,Automatic,Sedan,35,446759,True
1123,Volkswagen_Transporter_2014,White,2014,26319549,428016,Automatic,Sedan,21,492239,True
3080,Volkswagen_Transporter_2014,White,2014,30056934,428016,Automatic,Sedan,43,499537,True
4943,Volkswagen_Transporter_2014,Orange,2014,22589278,428016,Automatic,Sedan,3,480002,True
6568,Volkswagen_Transporter_2014,Red,2014,27129198,428016,Automatic,Sedan,4,489106,True
7124,Volkswagen_Transporter_2014,Orange,2014,28279761,428016,Automatic,Sedan,3,437920,True
7314,Volkswagen_Transporter_2014,Red,2014,26312297,428016,Automatic,Sedan,10,455123,True
8082,Volkswagen_Transporter_2014,Black,2014,26033672,428016,Automatic,Sedan,5,481245,True
9787,Volkswagen_Transporter_2014,Orange,2014,30412933,428016,Automatic,Sedan,6,438888,True
10375,Volkswagen_Transporter_2014,Black,2014,23682731,428016,Automatic,Sedan,16,485124,True
16854,Volkswagen_Transporter_2014,Red,2014,26577444,428016,Automatic,Sedan,4,484576,False
17590,Volkswagen_Transporter_2014,Black,2014,25833448,428016,Automatic,Sedan,5,488934,True
17616,Volkswagen_Transporter_2014,White,2014,24119965,428016,Automatic,Sedan,3,486730,True
18550,Volkswagen_Transporter_2014,Blue,2014,23834727,428016,Automatic,Sedan,28,502641,True
19913,Volkswagen_Transporter_2014,Black,2014,29478805,428016,Automatic,Sedan,12,460711,True
104,Nissan_Tiida_2015,Black,2015,34286184,689138,Automatic,Sedan,8,804792,True
890,Nissan_Tiida_2015,Red,2015,28940599,689138,Automatic,Sedan,6,758095,False
2021,Nissan_Tiida_2015,Red,2015,29011014,689138,Automatic,Sedan,47,794609,True
2457,Nissan_Tiida_2015,White,2015,29446351,689138,Automatic,Sedan,31,795838,True
